排名,剧名,播放量,订阅数,宣发策略,最新更新,剧集ID
1,早春晴朗,49821795,417639,D2,完结FT,72230
2,情蛊,42735411,455612,D2,4000w福利·山大王,86178
3,放学等我 第一季,55127564,846349,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55974031,580116,D2,OST A12 · 暗恋基本法,85974
5,小蘑菇 第一季,51348207,934675,D2,白噪音·漫步荒原,29125
6,二哈和他的白猫师尊,168193666,3202717,B,概念曲-拜长久（+童声版）,20741
7,天官赐福 第四季,12396460,135560,D2,新年小剧场《压岁钱》,91718
8,恒星时刻 第一季,1461828,67794,D2,歌曲《狮心》（Live）Remix,94789
9,灯花笑 上季,4395408,62929,D2,突击采访,94733
10,天官赐福 第一季,89237707,982089,D2,四千万福利·小剧场·从前有一位名师,52400
11,难哄,147992408,1585949,D2,破亿福利·纪念FT,38074
12,虚拟偶像团综丨《去世界尽头》,7031981,55944,B,嘉宾观察室乔殊篇·小歌迷,94354
13,不二之臣,41654925,861663,B,大结局·下,25580
14,干涸地,2317063,95530,D2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7723123,117037,D2,花絮03,81597
16,魔道祖师 第一季,260928164,2289311,D2,主创FT<下>,15861
17,伪装学渣 第一季,103860963,1956710,D2,千万福利·“叫妈妈”,58262
18,囚于永夜,5462523,324342,B,织音发布会纯享PV · 概念预告,86822
19,你的雪人能活多久 第一季,1816040,62299,D2,第八集 · 爱神降临,93787
20,台风眼 第一季,36295732,312664,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107099006,1451060,D2,完结FT,25944
22,偷偷藏不住,203663981,2421851,D2,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75387942,1007410,D2,线下漫展VLOG,52347
24,一屋暗灯 全一季,13455937,210448,D2,主役版主题曲▪未说的,93038
25,重生之将门毒后 第一季,95688174,845946,D2,主役reaction·片段03,43922
26,某某 第一季,99147793,1729920,D2,伴奏|《梧桐说》,58219
27,天官赐福 第三季,73948019,278700,D2,小剧场·元宵·花灯,82040
28,我喜欢你的信息素 第一季,101326056,1524069,D2,四千万福利,58217
29,见春天,13617526,236851,D2,魏清越书信·02,80533
30,如果月亮不抱你,84274954,1196604,B,全网2000万福利突击采访,25485
31,放学等我 第二季,32379554,456063,D2,番外·恋爱纪念日,68837
32,藏南晚星,20478917,211170,D2,✧2000万福利·番外·美梦,85110
33,尾钩,1034085,23980,D2,第29集 · 阿姆斯特丹,95503
34,伏特加与曼特宁,2219193,67288,D2,第八期,92988
35,再世权臣 第一季,22552548,265171,D2,花絮07,71321
36,我在无限游戏里封神 第四季,8296856,147516,D2,特别放送 · emoji大挑战,86834
37,不想了,10030165,115937,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,75342006,367104,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,宋玉章 第一季,4855563,48275,D2,第八折 ·  沉溺芳华,86589
40,洄天 第一季,28628013,249177,D2,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38941843,727961,B,主役听剧Reaction,46640
42,一颗苹果,14202020,168269,C,完结FT · 谢谢光临,90818
43,全球高考 第一季（全新版）,22281132,379946,D2,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298197329,1549588,D2,传讯符·忘羡,22602
45,江医生 第一季,17433843,240148,D2,千万播放福利第四弹·小剧场·猫,81852
46,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32349010,116252,B,许向安&许向宁生日小剧场·那片山那片海,84529
47,你的距离,91447139,941588,D2,完结FT·主创版,31552
48,FOG[电竞] 第一季,71738263,770564,D2,2000W福利·whisper伴奏抒情版,29122
