排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,早春晴朗,50170654,419321,D2,57,24,完结FT,72230
2,情蛊,42831213,456288,D2,68,49,4000w福利·山大王,86178
3,放学等我 第一季,55195176,846883,D2,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
4,小蘑菇 第一季,51379306,934957,D2,33,17,白噪音·漫步荒原,29125
5,奇洛李维斯回信,56110227,580653,D2,98,41,OST A12 · 暗恋基本法,85974
6,恒星时刻 第一季,1622121,68785,D2,13,0,歌曲《狮心》,94789
7,二哈和他的白猫师尊,168270271,3203098,B,84,0,概念曲-拜长久（+童声版）,20741
8,天官赐福 第四季,12814451,136672,D2,31,10,新年小剧场《压岁钱》,91718
9,灯花笑 上季,4477876,63392,D2,36,16,突击采访,94733
10,天官赐福 第一季,89427462,982678,D2,61,43,四千万福利·小剧场·从前有一位名师,52400
11,不二之臣,41683795,861927,B,16,0,大结局·下,25580
12,难哄,148042027,1586203,D2,76,48,破亿福利·纪念FT,38074
13,虚拟偶像团综丨《去世界尽头》,7148662,56172,B,52,0,嘉宾观察室乔殊篇·小歌迷,94354
14,干涸地,2329277,95636,D2,6,2,花絮01,86725
15,红白囍 第一季,7733263,117155,D2,46,13,花絮03,81597
16,魔道祖师 第一季,260981666,2289715,D2,39,22,主创FT<下>,15861
17,你的雪人能活多久 第一季,1890001,63334,D2,32,10,第八集 · 爱神降临,93787
18,伪装学渣 第一季,103879044,1956977,D2,30,17,千万福利·“叫妈妈”,58262
19,囚于永夜,5469958,324546,B,1,0,织音发布会纯享PV · 概念预告,86822
20,台风眼 第一季,36326027,312986,D2,53,20,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107143480,1451377,D2,59,16,完结FT,25944
22,偷偷藏不住,203703104,2421972,D2,89,54,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75434152,1007732,D2,64,14,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95745715,846197,D2,82,27,主役reaction·片段03,43922
25,天官赐福 第三季,74178004,279147,D2,68,44,小剧场·元宵·花灯,82040
26,某某 第一季,99178098,1730195,D2,43,28,伴奏|《梧桐说》,58219
27,一屋暗灯 全一季,13500854,210781,D2,54,14,主役版主题曲▪未说的,93038
28,见春天,13631069,236997,D2,54,8,魏清越书信·02,80533
29,如果月亮不抱你,84302246,1196763,B,24,0,全网2000万福利突击采访,25485
30,我喜欢你的信息素 第一季,101362379,1524382,D2,48,21,四千万福利,58217
31,藏南晚星,20520744,211451,D2,81,44,✧2000万福利·番外·美梦,85110
32,再世权臣 第一季,22599235,265484,D2,79,17,花絮07,71321
33,放学等我 第二季,32424533,456427,D2,42,16,番外·恋爱纪念日,68837
34,伏特加与曼特宁,2275924,67688,D2,34,9,第八期,92988
35,我在无限游戏里封神 第四季,8334384,147769,D2,56,15,特别放送 · emoji大挑战,86834
36,尾钩,1120637,24547,D2,43,24,第31集 · 耳鸣,95503
37,天官赐福 第二季,75521186,367541,D2,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
38,宋玉章 第一季,5006312,48861,D2,28,5,第八折 ·  沉溺芳华,86589
39,不想了,10041717,116019,D2,93,66,500W福利·主役版主题曲《同谋》,70445
40,洄天 第一季,28653690,249336,D2,65,14,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38973264,728250,B,31,0,主役听剧Reaction,46640
42,一颗苹果,14230576,168492,C,82,35,完结FT · 谢谢光临,90818
43,魔道祖师 第三季,298255617,1549802,D2,66,56,传讯符·忘羡,22602
44,全球高考 第一季（全新版）,22304729,380157,D2,37,11,— 「全季完结FT」—,60289
45,江医生 第一季,17462725,240355,D2,49,27,千万播放福利第四弹·小剧场·猫,81852
46,你的距离,91478848,941755,D2,70,27,完结FT·主创版,31552
47,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32394391,116297,B,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
48,FOG[电竞] 第一季,71770472,770694,D2,39,14,2000W福利·whisper伴奏抒情版,29122
49,交易沦陷,30671936,180230,D2,138,99,特别福利·星空沦陷,54171
50,二哈和他的白猫师尊,17073217,108840,D2,669,603,完结FT,81979
51,吞海 第一季,52719712,540230,D2,54,17,原创配乐·破晓,29187
52,虚拟偶像团综丨《一起再出发》,94050122,255817,B,179,0,中秋特辑·清道夫,58225
53,夫人你马甲又掉了 第一季,65554318,1028022,B,25,0,小剧场3,32574
54,南方海啸,25747055,175838,D2,102,68,花絮⑤,85492
55,重生之将门毒后 第二季,42926321,388192,D2,83,26,破亿福利·白噪音·花灯,52293
56,虚拟偶像团综丨《LASER出道日》,84381843,683901,B,89,0,专业小课堂：电子竞技运动与管理专业,28989
57,第二十八年春,10955380,385400,B,13,0,第四期,26751
58,囚于永夜,1735664,34920,D2,200,161,番外 少爷的生日7,94916
59,判官 第一季,39092242,658569,D2,45,21,听剧reaction,37773
60,我在无限游戏里封神 第三季,24621840,222929,D2,91,21,破亿纪念单曲·神明所遗落的,81851
61,迪奥先生 第一季,79935080,1080510,D2,30,15,王氏破产 铃声,23329
