排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,奇洛李维斯回信,50630248,551478,98,41,OST A12 · 暗恋基本法,85974
2,一屋暗灯 全一季,10017368,183040,45,10,福利彩蛋·白噪音,93038
3,囚于永夜,4948372,301085,1,0,织音发布会纯享PV · 概念预告,86822
4,二哈和他的白猫师尊,164604926,3175725,78,0,第肆季-第十一期,20741
5,情蛊,38996558,424125,67,48,完结FT·下,86178
6,洄天 第一季,27252440,242576,62,13,第十五期,86815
7,放学等我 第一季,52768882,826671,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,小蘑菇 第一季,50385702,923554,33,17,白噪音·漫步荒原,29125
9,我在无限游戏里封神 第四季,6241442,134202,42,14,第十四集 · 致命游戏,86834
10,坠落,11328843,181272,59,22,番外二·新生,76041
11,天官赐福 第一季,85831765,959905,61,43,四千万福利·小剧场·从前有一位名师,52400
12,魔道祖师 第一季,259141471,2270568,39,22,主创FT<下>,15861
13,我在无限游戏里封神 第一季,73430822,990289,64,14,线下漫展VLOG,52347
14,虚拟偶像团综丨《去世界尽头》,1175103,37947,5,0,团综主题曲·《去世界尽头》(纯享版),94354
15,伪装学渣 第一季,102844639,1941019,30,17,千万福利·“叫妈妈”,58262
16,早春晴朗,35885728,272729,57,24,完结FT,72230
17,天官赐福 第四季,5785704,90589,13,0,新年小剧场《压岁钱》,91718
18,我喜欢你的信息素 第一季,99984713,1509255,48,21,四千万福利,58217
19,虚拟偶像团综丨《NEW DAYS（一起又出发）》,29948144,113006,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
20,某某 第一季,98046047,1715600,43,28,伴奏|《梧桐说》,58219
21,放学等我 第二季,31019228,443627,42,16,番外·恋爱纪念日,68837
22,一颗苹果,13277644,155385,81,34,花絮08 · 客官很可以,90818
23,迪奥先生 第一季,79461842,1076918,30,15,王氏破产 铃声,23329
24,台风眼 第一季,35235921,298937,53,20,千万福利·富士山在等一片云,52404
25,满城衣冠 全一季,1461914,46063,11,0,第3集 · 勋章&挽联,90878
26,重生之将门毒后 第一季,93467843,833235,82,27,主役reaction·片段03,43922
27,干涸地,1928843,86610,1,0,概念预告,86725
28,将进酒 第一季,105832473,1438588,59,16,完结FT,25944
29,娘娘腔,37711051,713581,31,0,主役听剧Reaction,46640
30,灯花笑 上季,190359,21055,2,0,主题曲壹·只身朝夕,94733
31,全球高考 第一季（全新版）,21400468,370132,37,11,— 「全季完结FT」—,60289
32,入戏,8654759,91692,80,54,新春语音,82289
33,交易沦陷,28893529,174368,138,99,特别福利·星空沦陷,54171
34,见春天,13063745,229901,54,8,魏清越书信·02,80533
35,奇洛李维斯回信 番外篇,973029,63125,3,2,番外 ·  庆生宴,93420
36,再世权臣 第一季,21538845,257805,79,17,花絮07,71321
37,藏南晚星,19191074,201675,79,42,主题曲伴奏·途经,85110
38,我在无限游戏里封神 第三季,23173606,213910,91,21,破亿纪念单曲·神明所遗落的,81851
39,天官赐福 第三季,70967115,264630,67,43,小剧场·元宵·花灯,82040
40,于是麦麦决定离家出走,5660083,108487,51,32,花絮11,86179
41,判官 第一季,38315123,651000,45,21,听剧reaction,37773
42,二哈和他的白猫师尊,15563332,101661,669,603,完结FT,81979
43,针锋对决,37825869,931908,19,0,完结FT  互动问答,19249
44,沉醉不醒,3566526,54567,40,21,第十五期,86740
45,FOG[电竞] 第一季,70609063,763643,39,14,2000W福利·whisper伴奏抒情版,29122
46,江医生 第一季,16450738,232096,49,27,千万播放福利第四弹·小剧场·猫,81852
47,小蘑菇 第二季,51420183,501639,51,34,破亿电话·双人,39605
48,难哄,146542434,1576362,76,48,破亿福利·纪念FT,38074
49,魔道祖师 第三季,296534832,1542554,66,56,传讯符·忘羡,22602
50,偷偷藏不住,202538382,2415791,89,54,2亿福利·双人电话语音,34632
51,虚拟偶像团综丨《一起再出发》,91445414,252539,179,0,中秋特辑·清道夫,58225
52,不二之臣,40932104,850858,16,0,大结局·下,25580
53,我在无限游戏里封神 第二季（下）,20557245,251051,55,14,花絮06,76557
54,吞海 第一季,51411905,529452,54,17,原创配乐·破晓,29187
55,这题超纲了 第一季,20734387,493671,44,17,【回放】《这题超纲了》M星直播,41369
56,虚拟偶像团综丨《LASER出道日》,83036727,678672,89,0,专业小课堂：电子竞技运动与管理专业,28989
57,天官赐福 第二季,72558823,353862,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
58,逐玉 第一季,4521483,73375,43,14,原创配乐 · 凶夜,89245
59,嫡谋·第一季,143972,5143,8,0,第三集 · 「墨棋藏机」,94462
60,南方海啸,24150270,170465,102,68,花絮⑤,85492
61,本能游戏,25816367,106901,221,158,雪地番外 · 04冰冷的家,69569
62,虚拟偶像综艺 |《VANITY FAIR（名利场）》,27948543,128238,71,0,梦系列小剧场06·白日,78684
63,绰约,1801836,30140,22,1,律法小贴士·3则,86680
64,重生之将门毒后 第二季,41719793,381230,83,26,破亿福利·白噪音·花灯,52293
65,你的距离,90444460,935471,70,27,完结FT·主创版,31552
66,当你叫醒我,589635,11872,7,0,片尾曲《普通朋友-雪山酒店限定版》,94268
67,入蛊 全一季,731632,19184,20,12,Ⱄⱄᐝ第十五回,93646
68,破云 第一季,59137612,1097381,20,15,圣诞特辑,59047
69,我在无限游戏里封神 第二季（上）,20325262,328274,42,11,花絮06,71605
70,魔道祖师 第二季,170980119,1417827,41,37,主役FT（下）,19059
71,虚拟偶像综艺丨《险象环声》,83328509,437351,138,0,三千万福利·偶像问答,38165
72,别来无恙 第一季,23050767,453397,48,22,1000W福利•《满心》（合唱版）,37937
73,夫人你马甲又掉了 第一季,64833033,1022259,25,0,小剧场3,32574
74,只想和你好好的,266405,7388,11,2,✧ 第四期 ✧,94176
75,我喜欢你的信息素 第二季,76268445,845473,43,26,国风版·星衍,58218
76,欢迎进入梦魇直播间 第一季,23601554,194479,62,20,完结FT,75856
77,谁把谁当真,14734088,776209,4,0,第四期,726
78,FOG[电竞]第二季,58114433,434446,50,28,破亿特别直播回放,39588
79,提灯看刺刀 上季,14545184,240494,32,8,花絮·韩楚,77771
80,旧故新长 全一季,1278203,104228,1,0,织音发布会PV,86778
81,娑婆,1193996,32869,17,9,第十集,93178
82,伏特加与曼特宁,788360,49269,3,0,520小剧场·吻醒,92988
83,君有疾否 第一季,26918301,462734,67,56,苏世誉 ✦ 第一季启动音,34592
84,落池,68449585,1348504,15,0,落池·番外,22032
85,偏偏宠爱,17496235,363185,49,13,四百万语音·江忍,52353
86,失忆后死对头成了我男朋友？,5146693,99990,48,20,花絮15·恢复,86693
87,虚拟偶像团综丨《FINE DAY》,34741058,252963,41,0,虚拟偶像，但开团会,50725
88,再世权臣 第三季（下）,567122,21671,16,9,第九集 ·  承君一诺,93437
89,台风眼 第二季,29446974,157658,50,32,完结 FT,68664
90,我嗑了对家X我的CP,58241553,895990,48,29,完结FT,21102
91,初三的六一儿童节,28150105,61984,287,255,番外9 跨年夜,85562
92,谁来言说夜晚 上季,571568,11679,28,2,第19集,94321
93,全球高考 第二季,39772125,547828,40,15,—原创配乐「警告声中接吻」—,39622
94,门生故旧,556005,15934,44,32,☆ 35·Over,93774
95,将进酒 第二季,72488953,812653,45,22,第二季完结FT,30383
96,BE狂魔求生系统 第一季,17382927,396830,72,17,1000W福利·真吃醋啦O.o？,51469
97,你亲我一下,18730004,270686,63,15,特别加更·随便玩一下05,52356
98,可爱过敏原 第一季,26422274,581938,63,15,主役版主题曲《不冻港》,45209
99,AWM 第一季,85752982,1253241,43,20,第十四集·烙印,20284
100,等风热吻你,16598502,310873,56,18,插曲《约定》,52292
