排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,46858577,396417,57,24,D2,完结FT,72230
2,情蛊,42250782,451837,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54777506,843178,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55314668,576866,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,167797474,3200192,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,10493807,129752,28,7,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,3817100,58813,30,13,D2,第16集,94733
8,天官赐福 第一季,88403327,978803,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
9,囚于永夜,5424011,323165,1,0,B,织音发布会纯享PV · 概念预告,86822
10,恒星时刻 第一季,847527,62359,5,0,D2,小剧场 · 秦内心戏多得一❤隅,94789
11,伪装学渣 第一季,103759545,1955313,30,17,D2,千万福利·“叫妈妈”,58262
12,小蘑菇 第一季,51182992,933342,33,17,D2,白噪音·漫步荒原,29125
13,你的雪人能活多久 第一季,1567147,58520,28,7,D2,第六集 · 易感期恶性综合征,93787
14,魔道祖师 第一季,260678825,2287245,39,22,D2,主创FT<下>,15861
15,虚拟偶像团综丨《去世界尽头》,6086543,53948,47,0,B,嘉宾观察室江恪篇·滑草DIY,94354
16,难哄,147744041,1584286,76,48,D2,破亿福利·纪念FT,38074
17,一屋暗灯 全一季,13225966,208730,54,14,D2,主役版主题曲▪未说的,93038
18,干涸地,2232608,94811,3,0,D2,火风L原著|干涸地·第一集,86725
19,不二之臣,41497218,859907,16,0,B,大结局·下,25580
20,我在无限游戏里封神 第一季,75166462,1005520,64,14,D2,线下漫展VLOG,52347
21,红白囍 第一季,7659155,116438,46,13,D2,花絮03,81597
22,台风眼 第一季,36140542,310770,53,20,D2,千万福利·富士山在等一片云,52404
23,将进酒 第一季,106884706,1449427,59,16,D2,完结FT,25944
24,重生之将门毒后 第一季,95398329,844442,82,27,D2,主役reaction·片段03,43922
25,天官赐福 第三季,73142246,276615,68,44,D2,小剧场·元宵·花灯,82040
26,我喜欢你的信息素 第一季,101155079,1522589,48,21,D2,四千万福利,58217
27,伏特加与曼特宁,2054656,66149,27,5,D2,第六期,92988
28,某某 第一季,98996728,1728406,43,28,D2,伴奏|《梧桐说》,58219
29,放学等我 第二季,32173810,454145,42,16,D2,番外·恋爱纪念日,68837
30,偷偷藏不住,203467590,2420849,89,54,D2,2亿福利·双人电话语音,34632
31,我在无限游戏里封神 第四季,8114787,146156,56,15,D2,特别放送 · emoji大挑战,86834
32,藏南晚星,20273939,209753,81,44,D2,✧2000万福利·番外·美梦,85110
33,尾钩,671416,21142,25,12,D2,第19集 · 纪念日,95503
34,见春天,13547030,236005,54,8,D2,魏清越书信·02,80533
35,囚于永夜,1523863,32825,200,161,D2,番外 少爷的生日7,94916
36,洄天 第一季,28496830,248388,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
37,不想了,9968548,115534,93,66,D2,500W福利·主役版主题曲《同谋》,70445
38,宋玉章 第一季,4210921,45951,23,3,D2,第六折 ·  瞒天过海,86589
39,天官赐福 第二季,74570166,365005,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
40,娘娘腔,38797036,726536,31,0,B,主役听剧Reaction,46640
41,一颗苹果,14097959,166908,82,35,C,完结FT · 谢谢光临,90818
