排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,3910895,68633,43,14,2136,933,43.68%,原创配乐 · 凶夜,89245
2,奇洛李维斯回信,39556825,495009,79,23,45708,22979,50.27%,花絮09 ·小花絮又又又又又来了,85974
3,洄天 第一季,12214021,166588,25,0,6988,0,0.00%,倒计时3天,86815
4,情蛊,32335650,368930,59,41,44290,27155,61.31%,花絮11,86178
5,二哈和他的白猫师尊,159830561,3137178,69,0,121353,0,0.00%,第肆季-第七期,20741
6,一颗苹果,10389512,129753,66,25,9734,3601,36.99%,花絮06 · 推广,90818
7,囚于永夜,3934264,249537,1,0,1825,0,0.00%,织音发布会纯享PV · 概念预告,86822
8,放学等我 第一季,49207959,790773,53,18,62261,36317,58.33%,1700W福利·P-特别小剧场「2022.12.2」,64911
9,重生之将门毒后 第一季,90352435,814841,82,27,87876,42018,47.82%,主役reaction·片段03,43922
10,天官赐福 第一季,81213392,932781,61,43,67428,36166,53.64%,四千万福利·小剧场·从前有一位名师,52400
11,天官赐福 第四季,3293939,60898,10,0,4838,0,0.00%,新年小剧场《压岁钱》,91718
12,于是麦麦决定离家出走,3724196,89124,25,15,6692,3727,55.69%,第十期,86179
13,魔道祖师 第一季,256515199,2243091,39,22,96725,64507,66.69%,主创FT<下>,15861
14,我在无限游戏里封神 第一季,70092419,960518,64,14,76110,42645,56.03%,线下漫展VLOG,52347
15,虚拟偶像团综丨《NEW DAYS（一起又出发）》,23301671,105042,88,0,33110,0,0.00%,《一个房间》幕后花絮·杀青之今晚干点啥,84529
16,逐玉 第二季,439122,10048,6,0,244,0,0.00%,第二集 · 夜会,92520
17,将进酒 第一季,103894946,1417680,59,16,78089,53230,68.17%,完结FT,25944
18,反差 全一季,5792063,46712,23,6,2838,1281,45.14%,第七集·困兽犹斗,86684
19,我在无限游戏里封神 第四季,1504302,90276,2,0,2745,0,0.00%,预告 · Deicide,86834
20,我喜欢你的信息素 第一季,97975251,1485063,48,21,72300,45209,62.53%,四千万福利,58217
21,伪装学渣 第一季,101384696,1912817,30,17,80097,47123,58.83%,千万福利·“叫妈妈”,58262
22,娘娘腔,35645764,687870,31,0,69631,0,0.00%,主役听剧Reaction,46640
23,早春晴朗,30307516,236304,57,24,18967,12447,65.62%,完结FT,72230
24,放学等我 第二季,28915808,420091,42,16,43985,34730,78.96%,番外·恋爱纪念日,68837
25,小蘑菇 第一季,48263078,901238,33,17,57848,38848,67.16%,白噪音·漫步荒原,29125
26,天官赐福 第三季,65840501,247869,66,42,31107,25525,82.06%,花絮·不坠主役,82040
27,藏南晚星,17231378,187070,79,42,18363,13395,72.95%,主题曲伴奏·途经,85110
28,语义错误 第一季,2052341,20417,10,0,1404,0,0.00%,小剧场1 · GREEN,92155
29,某某 第一季,96391510,1690589,43,28,77261,45008,58.25%,伴奏|《梧桐说》,58219
30,美人印,267395,21971,4,0,1201,0,0.00%,主役采访,92611
31,初三的六一儿童节,21430792,45870,217,188,4766,3606,75.66%,Chapter.105B “栋笃笑”（下）,85562
32,重生之将门毒后 第二季,39955111,371512,83,26,49272,33011,67.00%,破亿福利·白噪音·花灯,52293
33,偷偷藏不住,200899835,2408671,89,54,139543,82468,59.10%,2亿福利·双人电话语音,34632
34,顶级掠食者 第二季,4538046,47458,20,7,3707,2669,72.00%,400W播放纪念,86789
35,交易沦陷,25345381,157533,138,99,15723,9162,58.27%,特别福利·星空沦陷,54171
36,见春天,12016751,216774,54,8,26488,8230,31.07%,魏清越书信·02,80533
37,不二之臣,40048062,840220,16,0,49559,0,0.00%,大结局·下,25580
38,二哈和他的白猫师尊,13514604,91555,669,603,8972,4307,48.00%,完结FT,81979
39,难哄,144792098,1566406,76,48,98223,61076,62.18%,破亿福利·纪念FT,38074
40,全球高考 第一季（全新版）,20017852,353204,37,11,21387,9910,46.34%,— 「全季完结FT」—,60289
41,我在无限游戏里封神 第三季,20588661,197571,91,21,27474,20163,73.39%,破亿纪念单曲·神明所遗落的,81851
42,台风眼 第一季,33273557,279053,53,20,19659,12468,63.42%,千万福利·富士山在等一片云,52404
43,君有疾否,1075615,29026,48,20,1299,241,18.55%,第31集,90896
44,失忆后死对头成了我男朋友？,4255784,91061,44,20,5749,3793,65.98%,花絮·陆云笙,86693
45,魔道祖师 第三季,294003678,1532006,66,56,97580,90020,92.25%,传讯符·忘羡,22602
46,针锋对决,36892141,913959,19,0,53580,0,0.00%,完结FT  互动问答,19249
47,再世权臣 第一季,20147365,246789,79,17,22718,10612,46.71%,花絮07,71321
48,骄阳似我 全一季,2876830,32603,37,15,939,354,37.70%,小剧场②我给你讲个故事,90737
49,天官赐福 第二季,68506806,338537,61,43,36830,33493,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
50,悬日 上季,10740454,144787,52,18,16705,5978,35.79%,ଫ苏洄生日福利,88192
