排名,剧名,播放量,订阅数,宣发策略,最新更新,剧集ID
1,天官赐福 第四季,12491332,135804,D2,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1493949,68065,D2,歌曲《狮心》（Live）Remix,94789
3,灯花笑 上季,4414249,63058,D2,突击采访,94733
4,你的雪人能活多久 第一季,1841137,62634,D2,第八集 · 爱神降临,93787
5,尾钩,1056838,24099,D2,第29集 · 阿姆斯特丹,95503
6,伏特加与曼特宁,2239092,67392,D2,第八期,92988
7,宋玉章 第一季,4888468,48399,D2,第八折 ·  沉溺芳华,86589
8,乘鸾 第一季,152450,5606,D2,第六集·火中取栗,94849
9,尚公主 第一季,34388,2894,D2,《尚公主》同名主题曲,95847
10,守寡后我重生了 第二季,183582,4809,D2,第七集,95212
11,干涸地,2319698,95544,D2,火风L原著|干涸地·第三集,86725
12,沉浮事,1216273,18592,D2,云外篇·第八集,94775
13,放学后别来我办公室 全一季,769890,20226,D2,第七课「等风来」,86868
14,清白之年,647909,15787,D2,第十集·致橡树,94838
15,全职高手广播剧第四季 上,96537,7226,D2,第一集,96092
16,二哈在狼群里疯狂造谣 第一季,267701,10424,D2,主题曲·恋爱使狼声名狼藉,94772
17,囚于永夜,1707925,34695,D2,番外 少爷的生日7,94916
18,沙子，时间，雨树,149601,8491,D2,"੭""导游和奇怪的客人·埃及博物馆",94825
19,是心跳说谎 全一季,155977,7514,D2,第三集,95516
20,炽火难熄 全一季,489752,22320,D2,第九集 · Estoy enamorado de ti,94917
21,触礁,511261,14218,D2,EP07⟢| 风和心脏 |,95034
22,解瘾,680308,14950,D2,花絮6❃亲不动了要秃噜皮啦,94782
23,搭界 第一季,554851,17393,D2,第十一集,94617
24,错登科  第一季,162885,5668,D2,第十集·解语花,94787
25,穿进赛博游戏后干掉BOSS成功上位 第一季,108553,5042,B,第4集,95678
26,传闻,155837,9041,D2,✧主役采访 · 下期,95625
27,难言之欲,323674,11776,D2,E6,94857
28,赤霞珠,407036,14473,D2,处暑福利音·饮酒小贴士·唐渡,95114
29,愚蠢的有钱人 全一季,212964,8048,D2,第九集,94873
30,我花开后百花杀 第一季,154067,5246,D2,第六集 · 落叶知心,94893
