排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,12970550,137092,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1692975,69177,D2,13,0,歌曲《狮心》,94789
3,灯花笑 上季,4511307,63592,D2,36,16,突击采访,94733
4,你的雪人能活多久 第一季,1912567,63543,D2,33,11,小剧场05 · 特大八卦,93787
5,宋玉章 第一季,5074192,49037,D2,29,6,第九折 ·  不栖下风,86589
6,尾钩,1147619,24685,D2,44,25,第32集 · 错轨,95503
7,沙子，时间，雨树,181860,9023,D2,9,0,ᯓº·主题曲·《Where I want to be》｡*˚,94825
8,伏特加与曼特宁,2290580,67784,D2,35,9,✦店长来啦！⑧,92988
9,全职高手广播剧第四季 上,128554,8368,D2,4,1,第二集,96092
10,尚公主 第一季,50828,3489,D2,4,0,壹·有女怀芬芳,95847
11,二哈在狼群里疯狂造谣 第一季,317703,11246,D2,11,0,第2集·无中生崽,94772
12,干涸地,2333641,95657,D2,6,2,花絮01,86725
13,搭界 第一季,567689,17514,D2,31,17,第十二集,94617
14,我花开后百花杀 第一季,161312,5358,D2,13,3,第七集 · 折桂赠卿,94893
15,囚于永夜,1750406,35080,D2,200,161,番外 少爷的生日7,94916
16,炽火难熄 全一季,505246,22520,D2,20,7,花絮04 · 夸人技巧,94917
17,难言之欲,338403,11937,D2,13,6,E7,94857
18,穿进赛博游戏后干掉BOSS成功上位 第一季,117113,5211,B,10,1,视频花絮01,95678
19,沉浮事,1274215,18921,D2,19,8,云外篇·第八集,94775
20,传闻,183503,9531,D2,11,0,✧第三集,95625
21,放学后别来我办公室 全一季,786754,20358,D2,19,5,第七课「等风来」,86868
22,触礁,545820,14419,D2,25,10,50w播放充电音·周时也,95034
23,是心跳说谎 全一季,163055,7655,D2,9,1,第三集,95516
24,守寡后我重生了 第二季,193581,4889,D2,16,6,第七集,95212
25,清白之年,662494,15912,D2,25,5,第十集·致橡树,94838
26,解瘾,700659,15042,D2,32,8,花絮6❃亲不动了要秃噜皮啦,94782
27,乘鸾 第一季,158147,5675,D2,14,3,第六集·火中取栗,94849
28,赤霞珠,416768,14652,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
29,错登科  第一季,167053,5752,D2,17,9,第十集·解语花,94787
30,任东西,96447,3539,D2,16,7,任东西·第九集,94860
