排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,445475,39319,4,0,伴奏▪不愈合,93038
2,洄天 第一季,17453688,194823,32,0,花絮01,86815
3,我在无限游戏里封神 第四季,2315665,102133,12,1,特别放送 · 当你进入到中式恐怖本,86834
4,沉醉不醒,1518961,39343,13,0,第三期,86740
5,顶级掠食者 第二季,5637794,50034,26,10,第十集,86789
6,愚蠢的有钱人,79549,9876,3,0,【声展：白锐❤️舒书木】,93113
7,再世权臣 第三季（上）,2051506,44634,31,8,第八集 ·  何罪之有,86827
8,伏特加与曼特宁,350822,28120,1,0,京儒♡生日快乐,92988
9,初三的六一儿童节 第二季（上）,21507,3011,1,0,预告,93154
10,降水概率百分百,276392,13470,6,0,˚.⊹ 第一期 ♡₊˚,93005
11,伏特加与曼特宁,77137,6857,6,0,°☆. 第2集 « *,92968
12,恩客,650289,13887,23,10,16·韩公馆,91870
13,迟爱,89682,5444,7,0,第二集,92710
14,欢迎进入梦魇直播间 第二季,5132222,40401,21,9,第九集 ♱ 三个问题,90985
15,反差 全一季,6235683,49751,27,9,第九集·孤注的告白,86684
16,语义错误 第一季,2774447,22671,15,3,Ep.06 CRASH,92155
17,一诺一生 全一季,770753,26455,19,5,小剧场 · 霸总观察日记,91354
18,美人印,454566,26942,10,3,第四集,92611
19,太傅他人人喊打 第二季,2120467,36293,19,8,花絮04,86723
20,逐玉 第二季,599290,12407,8,1,第四集 · 妒意,92520
21,君有疾否,1233742,30245,64,36,第47集,90896
22,沉浮事,67526,5133,11,2,第玖集 醉酒,92895
23,四方来食,330659,11923,68,51,Dish 62·偶遇旧友,91796
24,怀火 全一季,112008,8729,11,0,主题曲,91418
25,第二十八年春II,103315,4261,2,0,第五期,92633
26,二哈和他的白猫师尊日语版 第二季,39954,1113,9,2,夏司逆CV,92769
27,穿成阴鸷反派的联姻对象 第二季,612101,20202,20,11,第十集·从来都不认识他,91771
28,全球进化后我站在食物链顶端 第二季（下）,48951,6273,3,1,第十六集,92775
29,黑桃A,446879,11700,72,54,【主题曲ost2】,91968
30,这恋爱一定要谈吗,451819,17193,18,7,花絮3,91787
