排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,你的雪人能活多久 第一季,588320,42800,12,0,第一集（下）· 当一个 Alpha决定结婚,93787
2,灯花笑 上季,1953298,43599,16,2,第6集,94733
3,虚拟偶像团综丨《去世界尽头》,4295640,49543,27,0,第三期·九个太阳,94354
4,伏特加与曼特宁,1205152,58052,12,0,✧100万福利·祝京儒日记·那年,92988
5,天官赐福 第四季,6830743,102459,16,0,正式预告·神明与信徒,91718
6,宋玉章 第一季,2316271,41242,14,0,主题曲 · 不照我 · 伴奏,86589
7,囚于永夜,597006,19690,200,161,温然生日小剧场,94916
8,触礁,53853,7475,4,0,EP01⟢| 藏好今晚的月亮 |,95034
9,金陵春 第一季,134970,5588,10,1,第四集,94497
10,恒星时刻 第一季,278810,44343,1,0,歌曲《狮心》（Live）,94789
11,满城衣冠 全一季,1989564,51421,19,4,第6集 · 出将,90878
12,炽火难熄 全一季,189328,16725,9,0,花絮01 · 二人世界,94917
13,逆鳞 第一季,465457,15279,23,9,第十剑,93750
14,任东西,39748,2760,5,0,任东西·第二集,94860
15,我花开后百花杀 第一季,66908,3438,6,0,预告·权谋篇,94893
16,沉浮事,333299,12457,11,0,浊世篇·第二集,94775
17,当你叫醒我,979948,16498,13,0,第七集,94268
18,大王万万不可！ 第一季,246521,13589,21,5,第八集·迎风点火,94259
19,搭界 第一季,339632,14938,16,4,30万播放福利 · 起床,94617
20,谁来言说夜晚 上季,1021618,14315,53,27,第44集,94321
21,欲言难止,732654,21668,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
22,绰约,2021117,31744,30,4,律法小贴士·6则,86680
23,嫡谋·第一季,290580,8304,11,3,第六集 ·  「惊鸿一瞥」,94462
24,错登科  第一季,74574,4118,7,1,第三集·疑窦生,94787
25,守寡后我重生了 第二季,8326,1196,1,0,预告,95212
26,沉入地球,393864,9233,82,59,第71集 · 哥哥，带我走吧,93569
27,入蛊 全一季,901857,20773,22,14,Ⱄⱄᐝ白噪音·逍遥居,93646
28,清白之年,322034,12065,11,0,第三集·他骑竹马来,94838
29,解瘾,281417,12293,15,1,福利音❃执迷,94782
30,放学后别来我办公室 全一季,414049,15682,4,0,概念曲＜青阳＞纯歌版,86868
