排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,恒星时刻 第一季,712445,60106,D2,4,0,第一集♬R&R,94789
2,天官赐福 第四季,9989676,127903,D2,27,6,第四集·不能尽善问心有憾,91718
3,虚拟偶像团综丨《去世界尽头》,5951016,53566,B,47,0,嘉宾观察室江恪篇·滑草DIY,94354
4,灯花笑 上季,3606926,57264,D2,29,12,第15集,94733
5,干涸地,2194109,94405,D2,3,0,火风L原著|干涸地·第一集,86725
6,尾钩,545652,19815,D2,21,9,第16集 · 着陆,95503
7,你的雪人能活多久 第一季,1465262,56931,D2,27,6,小剧场03 · 戒指,93787
8,是心跳说谎 全一季,63541,5113,D2,5,0,第一集,95516
9,宋玉章 第一季,4042466,45703,D2,23,3,第六折 ·  瞒天过海,86589
10,伏特加与曼特宁,1983985,65593,D2,26,4,✦店长来啦！⑤,92988
11,满城衣冠 全一季,2609468,55932,D2,33,9,白噪音 · 苏苏念经,90878
12,囚于永夜,1460021,32187,D2,200,161,番外 少爷的生日7,94916
13,炽火难熄 全一季,399133,21068,D2,17,5,第七集 · 喜不喜欢？,94917
14,绰约,2305478,32796,D2,42,10,第十一集·活该,86680
15,谁来言说夜晚 上季,1809057,16157,D2,95,58,第75集,94321
16,嫡谋·第一季,396292,10083,D2,18,9,第十一集·「春深局变」,94462
17,放学后别来我办公室 全一季,670380,19254,D2,14,2,小剧场「大扫除」,86868
18,搭界 第一季,492449,16767,D2,27,13,花絮 04,94617
19,解瘾,544314,14201,D2,27,6,第八集,94782
20,茱丽叶塔 全一季,76523,5980,D2,22,3,「第六集」“亿万颗星中的花”,95106
21,穿进赛博游戏后干掉BOSS成功上位 第一季,68342,4300,B,6,0,第2集,95678
22,沉浮事,940352,17077,D2,17,6,浊世篇·第六集,94775
23,合笼蛊,537356,9721,D2,20,7,第九集·亲吻,94418
24,赤霞珠,347234,13405,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
25,守寡后我重生了 第二季,120481,3961,D2,12,3,第四集,95212
26,大王万万不可！ 第一季,455630,15609,D2,26,9,第十二集·红尘诸事,94259
27,错登科  第一季,135358,5240,D2,15,7,花絮-要被萌死了,94787
28,清白之年,541064,14988,D2,21,2,小剧场·肯德基,94838
29,小狐狸化形记,7554,1004,B,2,0,下集,95820
30,触礁,373936,13189,D2,18,6,✰花絮·03✰,95034
