排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,21104516,215668,38,3,18443,6549,35.51%,1000W特别福利 · 纪念日,86815
2,我在无限游戏里封神 第四季,3246203,113110,20,4,6322,3653,57.78%,特别放送 · 运气值比拼,86834
3,一屋暗灯 全一季,3094143,102249,16,1,16882,2997,17.75%,花絮02,93038
4,奇洛李维斯回信,44739680,517875,79,23,48078,24574,51.11%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35333310,393024,65,46,47687,29290,61.42%,花絮15,86178
6,早春晴朗,32348557,250473,57,24,20220,13243,65.49%,完结FT,72230
7,沉醉不醒,2025164,43276,20,6,2913,1334,45.79%,第六期,86740
8,初三的六一儿童节,25201567,55258,261,229,6080,4881,80.28%,番外3 兄弟（4）,85562
9,一颗苹果,12193308,141519,80,34,11418,4838,42.37%,启动音试听 · 谢青寄,90818
10,降水概率百分百,610738,17878,12,1,1497,355,23.71%,˚.⊹ 第四期 ♡₊˚,93005
11,于是麦麦决定离家出走,4734835,98707,35,21,8377,5077,60.61%,花絮04,86179
12,我在无限游戏里封神 第三季,21630999,204114,91,21,28264,20824,73.68%,破亿纪念单曲·神明所遗落的,81851
13,天官赐福 第三季,68999741,254545,67,43,31821,26192,82.31%,小剧场·元宵·花灯,82040
14,反差 全一季,6791697,53322,32,14,3588,1982,55.24%,第十二集·接住你了,86684
15,放学等我 第一季,50610913,805871,53,18,62226,36259,58.27%,1700W福利·P-特别小剧场「2022.12.2」,64911
16,愚蠢的有钱人,449071,16872,30,17,1363,517,37.93%,【花絮3】,93113
17,初三的六一儿童节 第二季（上）,315435,8085,5,2,652,344,52.76%,第三集 · 明德小事,93154
18,顶级掠食者 第二季,6442143,52424,31,13,4514,3497,77.47%,第十三集,86789
19,天官赐福 第二季,70895188,344543,61,43,37315,33938,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
20,恩客,1088939,16640,44,31,1314,825,62.79%,37·倌人与客人,91870
21,藏南晚星,18015245,193392,79,42,19212,14104,73.41%,主题曲伴奏·途经,85110
22,放学等我 第二季,29735398,429878,42,16,44230,34550,78.11%,番外·恋爱纪念日,68837
23,天官赐福 第一季,83715059,943071,61,43,67938,36446,53.65%,四千万福利·小剧场·从前有一位名师,52400
24,惹祸精,953737,29640,38,14,1605,867,54.02%,花絮4.0,90987
25,我在无限游戏里封神 第一季,71418459,972072,64,14,76633,42946,56.04%,线下漫展VLOG,52347
26,再世权臣 第三季（上）,2474589,47059,34,10,3413,2613,76.56%,第十集 ·  再度启程,86827
27,偷风不偷月 上季,7986021,126429,41,18,10316,5735,55.59%,300w福利·楚识琛（沈若臻）·风月语录,71389
28,吞海 第一季,50078985,517648,54,17,44259,27614,62.39%,原创配乐·破晓,29187
29,太傅他人人喊打 第二季,2655208,38809,24,12,2859,1742,60.93%,福利小剧场·《离思》,86723
30,欢迎进入梦魇直播间 第二季,5877166,43539,28,11,3387,2435,71.89%,《今日没说法》⑤ ·「不平安疗养院」,90985
31,魔道祖师 第三季,294985569,1536289,66,56,97608,90024,92.23%,传讯符·忘羡,22602
32,我在无限游戏里封神 第二季（下）,19511988,241823,55,14,26655,22688,85.12%,花絮06,76557
33,你的距离,89406506,929705,70,27,78292,56195,71.78%,完结FT·主创版,31552
34,娑婆,138403,13170,4,0,1345,0,0.00%,第一集,93178
35,魔道祖师 第一季,257489786,2253070,39,22,96865,64565,66.65%,主创FT<下>,15861
36,偷风不偷月 下季,3480880,61408,35,17,4470,4197,93.89%,100W福利·白噪音,77591
37,我在无限游戏里封神 第二季（上）,19627509,319303,42,11,33000,28577,86.60%,花絮06,71605
38,小蘑菇 第二季,50074443,492575,46,33,50388,46886,93.05%,全剧五千万福利,39605
39,吞海 第二季,31592660,263433,56,19,25231,23483,93.07%,新年祝福,67085
40,吞海 第三季（上）,21829278,209704,38,16,17818,16676,93.59%,OST·04 此地埋名,73221
41,交易沦陷,26613274,163729,138,99,16300,9486,58.20%,特别福利·星空沦陷,54171
42,某某 第一季,97026623,1699838,43,28,77249,45104,58.39%,伴奏|《梧桐说》,58219
43,魔道祖师 第二季,170017959,1411452,41,37,88785,81521,91.82%,主役FT（下）,19059
44,将进酒 第一季,104629901,1425446,59,16,78177,53313,68.20%,完结FT,25944
45,初三的六一儿童节 第一季,11181806,56210,53,16,3244,1562,48.15%,新年♥快乐,85497
46,台风眼 第二季,28750456,150584,50,32,13219,12208,92.35%,完结 FT,68664
47,台风眼 第一季,34140196,286784,53,20,20256,12812,63.25%,千万福利·富士山在等一片云,52404
48,我喜欢你的信息素 第一季,98756765,1493907,48,21,72373,45133,62.36%,四千万福利,58217
49,逐玉 第二季,718753,14004,14,4,448,103,22.99%,第七集 · 请罚,92520
50,吞海 第三季（下）,18756782,185647,51,18,18170,16431,90.43%,破亿纪念•抒情主役版「晓」,76879
