排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,5138437,130983,25,4,22433,6729,30.00%,5.14%,第六集,93038
2,洄天 第一季,23489431,226448,45,6,20176,8486,42.06%,3.75%,花絮03,86815
3,我在无限游戏里封神 第四季,4041999,119338,26,7,7226,4609,63.78%,3.86%,特别放送 · 谁是抽象之王,86834
4,奇洛李维斯回信,46605163,528367,83,27,49293,25547,51.83%,4.84%,回信广播剧主创FT（上）,85974
5,再世权臣 第三季（下）,175926,14965,5,2,824,636,77.18%,4.25%,第二集 ·  同舟共济,93437
6,情蛊,36648315,403222,67,48,48699,29874,61.34%,7.41%,完结FT·下,86178
7,早春晴朗,33557729,259047,57,24,20850,13661,65.52%,5.27%,完结FT,72230
8,娑婆,690478,26873,8,1,2660,221,8.31%,0.82%,第四集,93178
9,沉醉不醒,2491938,46670,27,9,3465,1854,53.51%,3.97%,苏墨♡生日快乐,86740
10,初三的六一儿童节,26484017,58260,281,249,6513,5282,81.10%,9.07%,番外6 春光（3）,85562
11,奇洛李维斯回信 番外篇,662137,48735,3,2,3831,3079,80.37%,6.32%,番外 ·  庆生宴,93420
12,我在无限游戏里封神 第三季,22094712,206780,91,21,28598,21127,73.88%,10.22%,破亿纪念单曲·神明所遗落的,81851
13,天官赐福 第三季,69680364,257442,67,43,32132,26461,82.35%,10.28%,小剧场·元宵·花灯,82040
14,反差 全一季,7194647,56323,37,18,4027,2385,59.23%,4.23%,第十五集·爱为新生,86684
15,放学等我 第一季,51242896,812118,53,18,62811,36348,57.87%,4.48%,1700W福利·P-特别小剧场「2022.12.2」,64911
16,顶级掠食者 第二季,7185393,54327,37,17,5031,4027,80.04%,7.41%,番外·官宣,86789
17,放学等我 第二季,30117227,433990,42,16,44394,34559,77.85%,7.96%,番外·恋爱纪念日,68837
18,天官赐福 第二季,71443134,347225,61,43,37568,34171,90.96%,9.84%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
19,一颗苹果,12556329,145387,80,34,11840,5092,43.01%,3.50%,启动音试听 · 谢青寄,90818
20,天官赐福 第一季,84340720,947809,61,43,68126,36560,53.67%,3.86%,四千万福利·小剧场·从前有一位名师,52400
21,于是麦麦决定离家出走,5114685,102099,45,28,8853,5402,61.02%,5.29%,花絮07,86179
22,藏南晚星,18405316,195895,79,42,19556,14398,73.62%,7.35%,主题曲伴奏·途经,85110
23,液态欲望 全一季,497084,25479,15,5,1557,616,39.56%,2.42%,EP04,86692
24,降水概率百分百,816997,20244,17,4,1760,617,35.06%,3.05%,˚.⊹ 第七期 ♡₊˚,93005
25,交易沦陷,27406968,167634,138,99,16650,9708,58.31%,5.79%,特别福利·星空沦陷,54171
26,我在无限游戏里封神 第一季,71981149,976758,64,14,76765,43071,56.11%,4.41%,线下漫展VLOG,52347
27,吞海 第一季,50516098,521460,54,17,44542,27849,62.52%,5.34%,原创配乐·破晓,29187
28,太傅他人人喊打 第二季,3044563,40657,29,15,3111,2020,64.93%,4.97%,花絮07,86723
29,我在无限游戏里封神 第二季（下）,19823365,244343,55,14,26892,22914,85.21%,9.38%,花絮06,76557
30,魔道祖师 第三季,295459530,1538029,66,56,97578,89970,92.20%,5.85%,传讯符·忘羡,22602
31,初三的六一儿童节 第二季（上）,787837,9825,9,4,762,494,64.83%,5.03%,522福利音 · 懒觉福利,93154
32,燎原,37321681,387337,43,34,39024,29699,76.10%,7.67%,FT,63688
33,吞海 第二季,31879776,265855,56,19,25474,23712,93.08%,8.92%,新年祝福,67085
34,小蘑菇 第二季,50399145,494662,46,33,50485,46975,93.05%,9.50%,全剧五千万福利,39605
35,魔道祖师 第一季,257966340,2257492,39,22,96842,64511,66.61%,2.86%,主创FT<下>,15861
36,我在无限游戏里封神 第二季（上）,19833624,321814,42,11,33222,28774,86.61%,8.94%,花絮06,71605
37,某某 第一季,97330338,1704127,43,28,77299,45079,58.32%,2.65%,伴奏|《梧桐说》,58219
38,吞海 第三季（上）,22040776,211854,38,16,18045,16896,93.63%,7.98%,OST·04 此地埋名,73221
39,将进酒 第一季,104991675,1429022,59,16,78235,53346,68.19%,3.73%,完结FT,25944
40,偷风不偷月 上季,8186862,128590,41,18,10447,5831,55.82%,4.53%,300w福利·楚识琛（沈若臻）·风月语录,71389
41,台风眼 第二季,28952731,152434,50,32,13365,12339,92.32%,8.09%,完结 FT,68664
42,魔道祖师 第二季,170307577,1413208,41,37,88783,81506,91.80%,5.77%,主役FT（下）,19059
43,愚蠢的有钱人,698472,19464,51,38,1665,784,47.09%,4.03%,【花絮4】,93113
44,台风眼 第一季,34445373,290042,53,20,20522,12983,63.26%,4.48%,千万福利·富士山在等一片云,52404
45,我喜欢你的信息素 第一季,99105766,1497921,48,21,72327,45051,62.29%,3.01%,四千万福利,58217
46,吞海 第三季（下）,18985693,187885,51,18,18451,16700,90.51%,8.89%,破亿纪念•抒情主役版「晓」,76879
47,惹祸精,1088079,31386,43,14,1772,996,56.21%,3.17%,100福利·斯昭起床福利音,90987
48,欢迎进入梦魇直播间 第二季,6147384,45249,28,11,3522,2552,72.46%,5.64%,《今日没说法》⑤ ·「不平安疗养院」,90985
49,小蘑菇 第一季,49466458,912427,33,17,58119,39000,67.10%,4.27%,白噪音·漫步荒原,29125
50,伪装学渣 第一季,102163605,1927535,30,17,79828,46905,58.76%,2.43%,千万福利·“叫妈妈”,58262
