排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,45991381,388198,D2,57,24,26226,17048,65.00%,4.39%,完结FT,72230
2,天官赐福 第四季,10238862,128865,D2,27,6,12208,6695,54.84%,5.20%,第四集·不能尽善问心有憾,91718
3,奇洛李维斯回信,55197721,576414,D2,98,41,54032,29065,53.79%,5.04%,OST A12 · 暗恋基本法,85974
4,你的雪人能活多久 第一季,1513044,57586,D2,28,7,5526,1058,19.15%,1.84%,第六集 · 易感期恶性综合征,93787
5,情蛊,42179980,451388,D2,68,49,54772,33955,61.99%,7.52%,4000w福利·山大王,86178
6,灯花笑 上季,3731781,58056,D2,30,13,8578,2031,23.68%,3.50%,第16集,94733
7,伏特加与曼特宁,2020219,65888,D2,27,5,3663,1449,39.56%,2.20%,第六期,92988
8,尾钩,606364,20461,D2,23,10,2145,1165,54.31%,5.69%,第17集 · 灰蓝色漩涡,95503
9,天官赐福 第三季,73034347,276301,D2,68,44,34299,28414,82.84%,10.28%,小剧场·元宵·花灯,82040
10,恒星时刻 第一季,793974,61800,D2,4,0,9256,0,0.00%,0.00%,第一集♬R&R,94789
11,宋玉章 第一季,4127667,45842,D2,23,3,3046,1069,35.10%,2.33%,第六折 ·  瞒天过海,86589
12,天官赐福 第一季,88283767,978340,D2,61,43,69038,37303,54.03%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,天官赐福 第二季,74450299,364715,D2,61,43,39047,35544,91.03%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,我在无限游戏里封神 第四季,8084633,146012,D2,56,15,12069,9530,78.96%,6.53%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2656433,56282,D2,34,10,3492,1534,43.93%,2.73%,第11集 · 离巢,90878
16,一屋暗灯 全一季,13192659,208581,D2,54,14,34832,16153,46.37%,7.74%,主役版主题曲▪未说的,93038
17,沉浮事,973048,17231,D2,17,6,1839,1066,57.97%,6.19%,浊世篇·第六集,94775
18,囚于永夜,1495265,32564,D2,200,161,3285,1037,31.57%,3.18%,番外 少爷的生日7,94916
19,藏南晚星,20234091,209555,D2,81,44,21179,15726,74.25%,7.50%,✧2000万福利·番外·美梦,85110
20,放学等我 第一季,54734786,842969,D2,53,18,61897,35813,57.86%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,放学等我 第二季,32147518,454000,D2,42,16,44386,33857,76.28%,7.46%,番外·恋爱纪念日,68837
22,魔道祖师 第三季,297908727,1548615,D2,66,56,97551,89858,92.11%,5.80%,传讯符·忘羡,22602
23,炽火难熄 全一季,407821,21164,D2,17,5,1616,723,44.74%,3.42%,第七集 · 喜不喜欢？,94917
24,我在无限游戏里封神 第三季,24399467,221717,D2,91,21,30513,22766,74.61%,10.27%,破亿纪念单曲·神明所遗落的,81851
25,魔道祖师 第一季,260636767,2286972,D2,39,22,97097,64607,66.54%,2.83%,主创FT<下>,15861
26,江医生 第一季,17285603,239108,D2,49,27,23262,14250,61.26%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,魔道祖师 第二季,171841601,1423780,D2,41,37,88916,81658,91.84%,5.74%,主役FT（下）,19059
28,台风眼 第二季,30051975,164251,D2,50,32,14382,13313,92.57%,8.11%,完结 FT,68664
29,台风眼 第一季,36118396,310558,D2,53,20,22316,13940,62.47%,4.49%,千万福利·富士山在等一片云,52404
30,某某 第一季,98975018,1728271,D2,43,28,76942,45046,58.55%,2.61%,伴奏|《梧桐说》,58219
31,我喜欢你的信息素 第一季,101129575,1522396,D2,48,21,72087,44674,61.97%,2.93%,四千万福利,58217
32,江医生 第二季,8610954,123721,D2,44,36,13886,12927,93.09%,10.45%,主役版·绝对,85256
33,我在无限游戏里封神 第一季,75133722,1005316,D2,64,14,77826,43590,56.01%,4.34%,线下漫展VLOG,52347
34,吞海 第一季,52467839,538529,D2,54,17,45863,28906,63.03%,5.37%,原创配乐·破晓,29187
35,我在无限游戏里封神 第二季（下）,21407665,258487,D2,55,14,28366,24248,85.48%,9.38%,花絮06,76557
36,降水概率百分百,2135651,30510,D2,45,18,3056,1785,58.41%,5.85%,完结彩蛋 ♡ 晴天娃娃,93005
37,你的距离,91261500,940616,D2,70,27,78825,56560,71.75%,6.01%,完结FT·主创版,31552
38,我喜欢你的信息素 第二季,77012690,851738,D2,43,26,59041,49801,84.35%,5.85%,国风版·星衍,58218
39,将进酒 第一季,106852562,1449195,D2,59,16,78391,53356,68.06%,3.68%,完结FT,25944
40,一颗苹果,14083206,166725,C,82,35,13842,6145,44.39%,3.69%,完结FT · 谢谢光临,90818
41,重生之将门毒后 第二季,42714225,387101,D2,83,26,50893,34300,67.40%,8.86%,破亿福利·白噪音·花灯,52293
42,清白之年,555357,15108,D2,22,3,1384,328,23.70%,2.17%,第八集·一颗开花的树,94838
43,娑婆,1959137,38674,D2,31,20,3828,1231,32.16%,3.18%,主题曲·观音火,93178
44,某某 第二季,66849245,835335,D2,67,39,68654,51383,74.84%,6.15%,破亿纪念·《正年少》,58220
45,吞海 第二季,33142486,276049,D2,56,19,26492,24693,93.21%,8.95%,新年祝福,67085
46,我在无限游戏里封神 第二季（上）,20927498,335473,D2,42,11,34474,29856,86.60%,8.90%,花絮06,71605
47,伪装学渣 第一季,103743737,1955171,D2,30,17,80080,47032,58.73%,2.41%,千万福利·“叫妈妈”,58262
48,难言之欲,267734,10882,D2,10,3,839,421,50.18%,3.87%,花絮·壹,94857
49,吞海 第三季（上）,22949450,221126,D2,38,16,18935,17753,93.76%,8.03%,OST·04 此地埋名,73221
50,失忆后死对头成了我男朋友？,5559581,104624,D2,48,20,7121,4862,68.28%,4.65%,花絮15·恢复,86693
