排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49785799,417464,D2,57,24,27353,17793,65.05%,4.26%,完结FT,72230
2,天官赐福 第四季,12358228,135433,D2,31,10,13241,7855,59.32%,5.80%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1446828,67673,D2,12,0,10928,0,0.00%,0.00%,歌曲《狮心》（Live）Remix,94789
4,尾钩,1027549,23912,D2,40,21,2580,1639,63.53%,6.85%,白噪音 · 郎机长礼拜日志,95503
5,奇洛李维斯回信,55961714,580072,D2,98,41,54266,29305,54.00%,5.05%,OST A12 · 暗恋基本法,85974
6,宋玉章 第一季,4842237,48200,D2,28,5,3395,1477,43.51%,3.06%,第八折 ·  沉溺芳华,86589
7,你的雪人能活多久 第一季,1811572,62221,D2,31,9,5940,1459,24.56%,2.34%,小剧场04 · 密码,93787
8,情蛊,42725776,455557,D2,68,49,55140,34253,62.12%,7.52%,4000w福利·山大王,86178
9,天官赐福 第三季,73927438,278669,D2,68,44,34639,28736,82.96%,10.31%,小剧场·元宵·花灯,82040
10,灯花笑 上季,4386645,62875,D2,36,16,8972,2372,26.44%,3.77%,突击采访,94733
11,全职高手广播剧第四季 上,92972,7088,D2,3,0,494,0,0.00%,0.00%,第一集,96092
12,天官赐福 第一季,89220520,982049,D2,61,43,69155,37397,54.08%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,天官赐福 第二季,75325535,367072,D2,61,43,39221,35711,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,伏特加与曼特宁,2215947,67274,D2,33,8,3828,1638,42.79%,2.43%,主题曲·秩序失守,92988
15,我在无限游戏里封神 第四季,8292875,147501,D2,56,15,12230,9679,79.14%,6.56%,特别放送 · emoji大挑战,86834
16,一屋暗灯 全一季,13452120,210430,D2,54,14,35083,16371,46.66%,7.78%,主役版主题曲▪未说的,93038
17,放学等我 第一季,55121372,846303,D2,53,18,61973,35876,57.89%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
18,藏南晚星,20474872,211143,D2,81,44,21371,15888,74.34%,7.52%,✧2000万福利·番外·美梦,85110
19,放学等我 第二季,32375754,456036,D2,42,16,44412,33835,76.18%,7.42%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298192655,1549578,D2,66,56,97606,89910,92.12%,5.80%,传讯符·忘羡,22602
21,魔道祖师 第一季,260923104,2289285,D2,39,22,97130,64630,66.54%,2.82%,主创FT<下>,15861
22,囚于永夜,1697513,34591,D2,200,161,3535,1161,32.84%,3.36%,番外 少爷的生日7,94916
23,魔道祖师 第二季,172020113,1424777,D2,41,37,88909,81653,91.84%,5.73%,主役FT（下）,19059
24,沉浮事,1195440,18483,D2,18,7,1951,1170,59.97%,6.33%,浊世篇·第七集,94775
