排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,16164440,189870,30,0,13345,0,0.00%,第二期,86815
2,我在无限游戏里封神 第四季,2127716,98756,11,1,4553,1678,36.85%,第一集 · 羔羊,86834
3,奇洛李维斯回信,41216242,501346,79,23,46356,23445,50.58%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,33352146,376367,61,42,45318,27837,61.43%,番外·此为情蛊,86178
5,逐玉 第一季,4078845,70071,43,14,2151,929,43.19%,原创配乐 · 凶夜,89245
6,于是麦麦决定离家出走,4097596,93336,28,16,7320,4240,57.92%,花絮02,86179
7,顶级掠食者 第二季,5286453,49300,24,9,3988,2972,74.52%,第九集,86789
8,一颗苹果,11106221,133146,74,32,10286,4099,39.85%,番外1 · 谢青寄的奇幻漂流,90818
9,反差 全一季,6119804,48860,26,8,3054,1481,48.49%,600W福利·白噪音·入睡,86684
10,天官赐福 第三季,67231091,250044,67,43,31344,25754,82.17%,小剧场·元宵·花灯,82040
11,沉醉不醒,1348953,38426,12,0,1778,0,0.00%,ღ100万福利·早安语音·丁竞元,86740
12,初三的六一儿童节,22524360,48148,231,199,5303,4122,77.73%,Chapter.111 R3x61 Forever,85562
13,再世权臣 第三季（上）,1941025,44052,30,7,2818,1960,69.55%,第七集 ·  相思何味,86827
14,太傅他人人喊打 第二季,1970607,35775,18,8,2476,1325,53.51%,第八集,86723
15,惹祸精,645398,25143,31,10,1216,563,46.30%,第十二集,90987
16,美人印,416694,26155,9,2,1651,229,13.87%,小剧场1-病娇弟弟,92611
17,天官赐福 第二季,69558280,340353,61,43,36963,33614,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
18,早春晴朗,30736710,239115,57,24,19192,12590,65.60%,完结FT,72230
19,欢迎进入梦魇直播间 第二季,4835370,39632,21,9,2933,2025,69.04%,第九集 ♱ 三个问题,90985
20,偷风不偷月 上季,7669137,122934,41,18,10097,5561,55.08%,300w福利·楚识琛（沈若臻）·风月语录,71389
21,天官赐福 第一季,82209472,935938,61,43,67536,36230,53.65%,四千万福利·小剧场·从前有一位名师,52400
22,我在无限游戏里封神 第三季,20911402,199455,91,21,27723,20347,73.39%,破亿纪念单曲·神明所遗落的,81851
23,藏南晚星,17470941,188979,79,42,18617,13604,73.07%,主题曲伴奏·途经,85110
24,放学等我 第一季,49605870,794909,53,18,62400,36348,58.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
25,逐玉 第二季,563285,11747,7,0,358,0,0.00%,第三集 · 比试,92520
26,放学等我 第二季,29153946,422702,42,16,44084,34715,78.75%,番外·恋爱纪念日,68837
27,重生之将门毒后 第二季,40174689,372584,83,26,49392,33111,67.04%,破亿福利·白噪音·花灯,52293
28,偷风不偷月 下季,3286152,58853,35,17,4274,4003,93.66%,100W福利·白噪音,77591
29,吞海 第一季,49446665,512436,54,17,43877,27330,62.29%,原创配乐·破晓,29187
30,小蘑菇 第二季,49099274,489262,46,33,50201,46710,93.05%,全剧五千万福利,39605
31,将进酒 第一季,104122346,1420053,59,16,78129,53261,68.17%,完结FT,25944
32,魔道祖师 第三季,294292518,1533195,66,56,97605,90034,92.24%,传讯符·忘羡,22602
33,我在无限游戏里封神 第一季,70496419,963897,64,14,76257,42759,56.07%,线下漫展VLOG,52347
34,魔道祖师 第一季,256797950,2245940,39,22,96745,64528,66.70%,主创FT<下>,15861
35,小蘑菇 第一季,48511260,903629,33,17,57928,38900,67.15%,白噪音·漫步荒原,29125
36,重生之将门毒后 第一季,90734050,816839,82,27,87990,42094,47.84%,主役reaction·片段03,43922
37,吞海 第二季,31189833,260157,56,19,24887,23152,93.03%,新年祝福,67085
38,魔道祖师 第二季,169601967,1408434,41,37,88699,81458,91.84%,主役FT（下）,19059
39,我在无限游戏里封神 第二季（下）,19041564,237604,55,14,26248,22325,85.05%,花絮06,76557
40,将进酒 第二季,71380073,805986,45,22,67010,60913,90.90%,第二季完结FT,30383
41,吞海 第三季（上）,21542560,206541,38,16,17527,16396,93.55%,OST·04 此地埋名,73221
42,某某 第一季,96576798,1693152,43,28,77274,45025,58.27%,伴奏|《梧桐说》,58219
43,我喜欢你的信息素 第一季,98207315,1487642,48,21,72362,45219,62.49%,四千万福利,58217
44,失忆后死对头成了我男朋友？,4362979,91987,44,20,5850,3882,66.36%,花絮·陆云笙,86693
45,你的距离,88826795,926061,70,27,78134,56091,71.79%,完结FT·主创版,31552
46,吞海 第三季（下）,18444774,182483,51,18,17820,16089,90.29%,破亿纪念•抒情主役版「晓」,76879
47,欢迎进入梦魇直播间 第一季,22549826,185769,62,20,18761,8132,43.35%,完结FT,75856
48,我在无限游戏里封神 第二季（上）,19307139,314982,42,11,32660,28262,86.53%,花絮06,71605
49,再世权臣 第一季,20318068,248432,79,17,22855,10694,46.79%,花絮07,71321
50,纸飞机,9473269,179188,47,25,12617,7083,56.14%,小剧场 占有欲 ,53304
